"TIME","TIME_LABEL","GEO","COICOP","UNIT","Value"
"2015","2015","European Union (current composition)","Food and non-alcoholic beverages","Per mille",":"
"2015","2015","European Union (current composition)","Food","Per mille",":"
"2015","2015","European Union (current composition)","Bread and cereals","Per mille",":"
"2015","2015","European Union (current composition)","Rice","Per mille",":"
"2015","2015","European Union (current composition)","Bread","Per mille",":"
"2015","2015","European Union (current composition)","Other bakery products","Per mille",":"
"2015","2015","European Union (current composition)","Pasta products and couscous","Per mille",":"
"2015","2015","European Union (current composition)","Other cereal products","Per mille",":"
"2015","2015","European Union (current composition)","Meat","Per mille",":"
"2015","2015","European Union (current composition)","Beef and veal","Per mille",":"
"2015","2015","European Union (current composition)","Pork","Per mille",":"
"2015","2015","European Union (current composition)","Lamb and goat","Per mille",":"
"2015","2015","European Union (current composition)","Poultry","Per mille",":"
"2015","2015","European Union (current composition)","Dried, salted or smoked meat and edible meat offal","Per mille",":"
"2015","2015","European Union (current composition)","Other preserved or processed meat and meat preparations","Per mille",":"
"2015","2015","European Union (current composition)","Other fresh, chilled or frozen edible meat","Per mille",":"
"2015","2015","European Union (current composition)","Fish and seafood","Per mille",":"
"2015","2015","European Union (current composition)","Fresh, chilled or frozen fish","Per mille",":"
"2015","2015","European Union (current composition)","Fresh, chilled or frozen seafood","Per mille",":"
"2015","2015","European Union (current composition)","Dried, smoked or salted fish and seafood","Per mille",":"
"2015","2015","European Union (current composition)","Other preserved or processed fish and seafood and fish and seafood preparations","Per mille",":"
"2015","2015","European Union (current composition)","Milk, cheese and eggs","Per mille",":"
"2015","2015","European Union (current composition)","Whole milk","Per mille",":"
"2015","2015","European Union (current composition)","Low fat milk","Per mille",":"
"2015","2015","European Union (current composition)","Preserved milk","Per mille",":"
"2015","2015","European Union (current composition)","Yoghurt","Per mille",":"
"2015","2015","European Union (current composition)","Cheese and curd","Per mille",":"
"2015","2015","European Union (current composition)","Other milk products","Per mille",":"
"2015","2015","European Union (current composition)","Eggs","Per mille",":"
"2015","2015","European Union (current composition)","Oils and fats","Per mille",":"
"2015","2015","European Union (current composition)","Butter","Per mille",":"
