"","code_CH"
"1","50"
"2","51"
"3","511"
"4","5111"
"5","5111.01"
"6","5111.02"
"7","5111.03"
"8","5111.04"
"9","5111.05"
"10","5111.06"
"11","5111.07"
"12","5111.08"
"13","5112"
"14","5112.01"
"15","5112.02"
"16","5112.03"
"17","5112.04"
"18","5112.05"
"19","5112.06"
"20","5112.07"
"21","5112.08"
"22","5112.09"
"23","5112.10"
"24","5112.11"
"25","5112.12"
"26","5112.13"
"27","5113"
"28","5113.01"
"29","5113.02"
"30","5113.03"
"31","5113.04"
"32","5113.05"
"33","5114"
"34","5114.01"
"35","5114.02"
"36","5114.03"
"37","5114.04"
"38","5114.05"
"39","5114.06"
"40","5114.07"
"41","5114.08"
"42","5114.09"
"43","5114.10"
"44","5115"
"45","5115.01"
"46","5115.02"
"47","5115.03"
"48","5115.04"
"49","5115.05"
"50","5116"
"51","5116.01"
"52","5116.02"
"53","5116.03"
"54","5116.04"
"55","5116.05"
"56","5116.06"
"57","5116.07"
"58","5116.08"
"59","5116.09"
"60","5116.10"
"61","5116.11"
"62","5116.12"
"63","5116.13"
"64","5117"
"65","5117.01"
"66","5117.02"
"67","5117.03"
"68","5117.04"
"69","5117.05"
"70","5117.06"
"71","5117.07"
"72","5117.08"
"73","5117.09"
"74","5117.10"
"75","5117.11"
"76","5117.12"
"77","5117.13"
"78","5117.14"
"79","5117.15"
"80","5118"
"81","5118.01"
"82","5118.02"
"83","5118.03"
"84","5118.04"
"85","5118.05"
"86","5118.06"
"87","5118.07"
"88","5119"
"89","5119.01"
"90","5119.02"
"91","5119.03"
"92","5119.04"
"93","5119.05"
"94","5119.06"
"95","5119.07"
"96","5119.08"
"97","512"
"98","5121"
"99","5121.01"
"100","5121.02"
"101","5121.03"
"102","5121.04"
"103","5122"
"104","5122.01"
"105","5122.02"
"106","5122.03"
"107","5122.04"
"108","5122.05"
"109","52"
"110","521"
"111","5211"
"112","5211.01"
"113","5211.02"
"114","5212"
"115","5212.01"
"116","5212.02"
"117","5212.03"
"118","5212.04"
"119","5212.05"
"120","5212.06"
"121","5212.07"
"122","5212.08"
"123","5212.09"
"124","5213"
"125","5213.00"
"126","522"
"127","5220"
"128","5220.01"
"129","5220.02"
"130","53"
"131","531"
"132","5311"
"133","5311.01"
"134","5311.02"
"135","5311.03"
"136","5312"
"137","5312.01"
"138","5312.02"
"139","5312.03"
"140","5313"
"141","5313.01"
"142","5313.02"
"143","5313.03"
"144","5314"
"145","5314.01"
"146","5314.02"
"147","5314.03"
"148","532"
"149","5320"
"150","5320.01"
"151","5320.02"
"152","56"
"153","561"
"154","5611"
"155","5611.00"
"156","5612"
"157","5612.01"
"158","5612.02"
"159","5612.03"
"160","5612.04"
"161","5612.05"
"162","5612.06"
"163","5613"
"164","5613.01"
"165","5613.02"
"166","5613.03"
"167","5613.04"
"168","5613.05"
"169","5613.06"
"170","5613.07"
"171","5614"
"172","5614.01"
"173","5614.02"
"174","5614.03"
"175","5614.04"
"176","5614.05"
"177","5614.06"
"178","5615"
"179","5615.01"
"180","5615.02"
"181","5616"
"182","5616.00"
"183","562"
"184","5621"
"185","5621.00"
"186","5622"
"187","5622.00"
"188","5623"
"189","5623.00"
"190","5624"
"191","5624.00"
"192","57"
"193","571"
"194","5711"
"195","5711.00"
"196","5712"
"197","5712.01"
"198","5712.02"
"199","5712.03"
"200","5712.04"
"201","5712.05"
"202","5713"
"203","5713.01"
"204","5713.02"
"205","5713.03"
"206","572"
"207","5721"
"208","5721.00"
"209","5722"
"210","5722.00"
"211","5723"
"212","5723.00"
"213","573"
"214","5730"
"215","5730.01"
"216","5730.02"
"217","58"
"218","581"
"219","5810"
"220","5810.01"
"221","5810.02"
"222","5810.03"
"223","5810.04"
